cancer_type,nct_id,official_title,status,phase,primary_completion_date,url
PROSTATE,NCT02952534,"TRITON2: A Multicenter, Open-label Phase 2 Study of Rucaparib in Patients With Metastatic Castration-Resistant Prostate Cancer Associated With Homologous Recombination Deficiency",COMPLETED,PHASE2,7/18/21,https://clinicaltrials.gov/study/NCT02952534
UROTHELIAL,NCT04172675,A Randomized Phase 2 Study of Erdafitinib Versus Investigator Choice of Intravesical Chemotherapy in Subjects Who Received Bacillus Calmette-Guerin (BCG) and Recurred With High Risk Non-Muscle-Invasive Bladder Cancer (NMIBC) and FGFR Mutations or Fusions,COMPLETED,PHASE2,7/12/24,https://clinicaltrials.gov/study/NCT04172675
RCC,NCT04704219,"A Phase 2, Single-arm, Open-label Clinical Trial of Pembrolizumab Plus Lenvatinib in Participants With First-line Advanced/Metastatic Non-clear Cell Renal Cell Carcinoma (nccRCC) [KEYNOTE-B61]",COMPLETED,PHASE2,1/27/25,https://clinicaltrials.gov/study/NCT04704219
TESTICULAR,NCT00936936,High-dose Chemotherapy for Poor-Prognosis Relapsed Germ-Cell Tumors,COMPLETED,PHASE2,1/11/24,https://clinicaltrials.gov/study/NCT00936936
BREAST,NCT03734029,"A Phase 3, Multicenter, Randomized, Open-label, Active Controlled Trial of DS-8201a, an Anti-HER2-antibody Drug Conjugate (ADC), Versus Treatment of Physician's Choice for HER2-low, Unresectable and/or Metastatic Breast Cancer Subjects [DESTINY-Breast04]",ACTIVE_NOT_RECRUITING,PHASE3,1/11/22,https://clinicaltrials.gov/study/NCT03734029
LUNG,NCT04487080,"A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients With EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer [MARIPOSA]",ACTIVE_NOT_RECRUITING,PHASE3,8/11/23,https://clinicaltrials.gov/study/NCT04487080
COLORECTAL,NCT04094688,Randomized Double-Blind Phase III Trial of Vitamin D3 Supplementation in Patients With Previously Untreated Metastatic Colorectal Cancer (SOLARIS),ACTIVE_NOT_RECRUITING,PHASE3,7/15/24,https://clinicaltrials.gov/study/NCT04094688
HEAD_AND_NECK,NCT02741570,"An Open Label, Randomized, Two Arm Phase III Study of Nivolumab in Combination With Ipilimumab Versus Extreme Study Regimen (Cetuximab + Cisplatin/Carboplatin + Fluorouracil) as First Line Therapy in Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck (SCCHN) [CheckMate 651]",COMPLETED,PHASE3,5/10/21,https://clinicaltrials.gov/study/NCT02741570
OVARIAN,NCT03522246,"ATHENA: A Multicenter, Randomized, Double-Blind, Placebo-Controlled Phase 3 Study in Ovarian Cancer Patients Evaluating Rucaparib and Nivolumab as Maintenance Treatment Following Response to Front-Line Platinum-Based Chemotherapy",ACTIVE_NOT_RECRUITING,PHASE3,5/20/24,https://clinicaltrials.gov/study/NCT03522246
UTERINE,NCT03517449,"A Multicenter, Open-label, Randomized, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib in Combination With Pembrolizumab Versus Treatment of Physician's Choice in Participants With Advanced Endometrial Cancer [KEYNOTE-775]",COMPLETED,PHASE3,3/1/22,https://clinicaltrials.gov/study/NCT03517449
